Locus_name,Allele_Name,Sample_count,Allele_Frequency,Fis_WC
Sol-11,149,294,0.2865,-0.0383
Sol-11,153,159,0.1550,0.0557
Sol-18,230,758,0.7374,-0.0237
Sol-18,232,256,0.2490,-0.0393
Sol-18,234,14,0.0136,0.1320
Sol-20,103,137,0.1302,0.0359
Sol-20,105,557,0.5295,0.0433
Sol-20,107,111,0.1055,0.0441
Sol-20,109,15,0.0143,-0.0135
Sol-20,113,1,0.0010,-0.0000
Sol-20,115,1,0.0010,-0.0000
Sol-20,121,4,0.0038,-0.0029
Sol-20,122,1,0.0010,-0.0000
Sol-20,123,131,0.1245,-0.0715
Sol-20,125,2,0.0019,-0.0010
Sol-20,129,2,0.0019,-0.0010
Sol-20,131,87,0.0827,0.0110
Sol-20,133,3,0.0029,-0.0019
Sol-42f,112,2,0.0019,-0.0010
Sol-42f,114,422,0.4019,-0.0688
Sol-42f,116,238,0.2267,-0.0096
Sol-42f,118,139,0.1324,0.0805
Sol-42f,122,2,0.0019,-0.0010
Sol-42f,126,3,0.0029,-0.0019
Sol-42f,128,189,0.1800,0.0266
Sol-42f,130,3,0.0029,-0.0019
Sol-42f,138,3,0.0029,-0.0019
Sol-42f,140,49,0.0467,-0.0052
Sol-49,137,142,0.1446,0.0131
Sol-49,144,148,0.1507,-0.0332
Sol-49,156,365,0.3717,0.0199
Sol-49,158,142,0.1446,0.0460
Sol-49,162,185,0.1884,0.0353
Sol-6,107,136,0.1290,0.0216
Sol-6,109,2,0.0019,-0.0010
Sol-6,111,695,0.6594,-0.0256
Sol-6,113,221,0.2097,0.0448
Sol-J1,248,1,0.0010,0.0000
Sol-J1,253,4,0.0041,1.0000
Sol-J1,254,520,0.5372,-0.0045
Sol-J1,256,154,0.1591,0.0898
Sol-J1,258,285,0.2944,0.0512
Sol-J1,260,4,0.0041,-0.0031
Sol-M2,276,325,0.3205,0.0817
Sol-M2,278,488,0.4813,0.1003
Sol-M2,280,84,0.0828,0.0405
Sol-M2,296,116,0.1144,0.0081
Sol-M2,297,1,0.0010,-0.0000
Sol-M3,204,477,0.4676,-0.0032
Sol-M3,206,92,0.0902,0.0452
Sol-M3,208,451,0.4422,-0.0682
Starr,85,945,0.8898,0.0308
Starr,88,117,0.1102,0.0308
st_stephen,254,5,0.0051,-0.0041
st_stephen,257,941,0.9681,0.0347
st_stephen,260,26,0.0267,0.0526
Sun_King,150,736,0.9109,0.0559
Sun_King,156,72,0.0891,0.0559
sunrise,79,617,0.5777,0.0146
sunrise,82,36,0.0337,-0.0339
sunrise,85,415,0.3886,0.0511
Sway,82,507,0.5020,-0.0010
Sway,86,270,0.2673,0.0203
Sway,90,233,0.2307,-0.0199
Taxman,188,375,0.3662,0.0375
Taxman,191,489,0.4775,0.0264
Taxman,194,158,0.1543,0.0580
Taxman,198,2,0.0020,-0.0010
Tombstone_blues,242,750,0.7485,0.0573
Tombstone_blues,245,252,0.2515,0.0573
Trouble,247,459,0.5240,0.0171
Trouble,249,417,0.4760,0.0171
Tweedy,222,4,0.0044,0.4986
Tweedy,227,370,0.4075,0.0706
Tweedy,231,534,0.5881,0.0736
Walrus,165,227,0.2248,-0.0389
Walrus,168,761,0.7535,-0.0171
Walrus,171,22,0.0218,-0.0213
Weight,310,860,0.8903,0.0897
Weight,312,106,0.1097,0.0897
Wigwam,240,125,0.1689,0.0484
Wigwam,243,615,0.8311,0.0484
Workingman_Blues,254,158,0.1590,0.0679
Workingman_Blues,256,525,0.5282,0.2299
Workingman_Blues,257,311,0.3129,0.2569
Yellow_submarine,273,762,0.7456,0.0621
Yellow_submarine,276,260,0.2544,0.0621
