"","i","j","pearson_corr","spearman_corr","pearson_p","pearson_p_adjusted","spearman_p","spearman_p_adjusted"
"87","QnSurvCL","IR",-0.123033763948883,-0.141555214626233,0.39967054397003,0.798178476852705,0.331945100140033,0.833551029240528
"88","ColWtCL","IR",-0.111596485985418,-0.109559300355273,0.536383899939255,0.87440441075911,0.543894488388678,0.943953958998075
"89","ColWtCL_6","IR",-0.437455435898438,-0.0666666666666667,0.238987205325115,0.65442114015339,0.880092592592593,0.960575605188661
"90","ColGrowthCL_6","IR",-0.609079204909129,-0.183333333333333,0.081690570467546,0.369241378513308,0.643639770723104,0.944703697798355
"91","QnSurvCL_6","IR",NA,NA,NA,NA,NA,NA
"92","ID","SH",0.0800589689035902,0.163127860115435,0.58449925197082,0.87440441075911,0.262739955964568,0.833551029240528
"93","QnSinV1","SH",0.104035905427235,0.0986225373365052,0.476845520886995,0.841227481759113,0.5001953336809,0.943953958998075
"94","QnSinV2","SH",0.000314834332941465,-0.0262638070505464,0.998286986241199,0.99960648108617,0.857834516220796,0.960575605188661
"95","QnSinV3","SH",-0.0380147301655972,-0.0817853842340492,0.795382727641357,0.99960648108617,0.576396665228913,0.943953958998075
"96","QnSize","SH",-0.215165767578225,-0.238918978043244,0.160720946456515,0.534160792634889,0.118311269437037,0.514198978707121
"97","QnWt","SH",0.0440526080411619,-0.0362669221729907,0.763754935657202,0.99960648108617,0.804601684423244,0.960575605188661
"98","QnWtLsCL","SH",-0.00212338515248272,0.0424713725436943,0.990642960727591,0.99960648108617,0.814458863089794,0.960575605188661
"99","ClaustPer","SH",-0.156130804332499,-0.178607799906788,0.39348146359716,0.798178476852705,0.328047374205826,0.833551029240528
"100","QnSurvCL","SH",0.138558592312129,0.147955327003303,0.342385701791846,0.7586193000486,0.310321262094167,0.833551029240528
"101","ColWtCL","SH",0.104012240860281,0.0490376596509255,0.564593476621841,0.87440441075911,0.786390271671778,0.960575605188661
"102","ColWtCL_6","SH",0.48068320363751,0.116666666666667,0.19025745735218,0.604167851418987,0.775628306878307,0.960575605188661
"103","ColGrowthCL_6","SH",0.647823150506152,0.233333333333333,0.059203879563329,0.290871234376355,0.551708553791887,0.943953958998075
"104","QnSurvCL_6","SH",NA,NA,NA,NA,NA,NA
"105","IR","SH",-0.993360443528809,-0.959193861687529,8.4506639530467e-46,1.59154171115713e-44,1.98050647269023e-27,3.72995385689993e-26
"106","ID","HL",-0.0985292206107282,-0.171606343229663,0.500602921640291,0.857092880990195,0.238396372087487,0.816326971087454
"107","QnSinV1","HL",-0.102387964485434,-0.0877926536483957,0.483891914286215,0.841227481759113,0.548610275449042,0.943953958998075
"108","QnSinV2","HL",0.0157309795864036,0.0621688550294434,0.914566273003947,0.99960648108617,0.671304343373187,0.948217385014626
"109","QnSinV3","HL",0.0369874408777874,0.0819049643079503,0.800797986508673,0.99960648108617,0.57583734420089,0.943953958998075
"110","QnSize","HL",0.231737759455604,0.241395050193886,0.130124655249652,0.462913806167212,0.114431909658009,0.514198978707121
"111","QnWt","HL",-0.0521871674695688,0.0215921839347865,0.72174888605986,0.974066756340902,0.882926396487772,0.960575605188661
"112","QnWtLsCL","HL",0.0202752245383343,-0.00235636761410439,0.910829235875535,0.99960648108617,0.989616338300219,0.989616338300219
"113","ClaustPer","HL",0.152680747662375,0.151242544349253,0.404147257682719,0.798178476852705,0.408641446415858,0.936452496775071
"114","QnSurvCL","HL",-0.156309641331406,-0.151258564986013,0.283481701767848,0.707692145847323,0.29952127624858,0.833551029240528
"115","ColWtCL","HL",-0.0974114647560347,-0.0531513020744312,0.589683372849477,0.87440441075911,0.768937035528028,0.960575605188661
"116","ColWtCL_6","HL",-0.4291663597649,-0.0508547627715608,0.249027513509697,0.65442114015339,0.896622545113034,0.960575605188661
"117","ColGrowthCL_6","HL",-0.58351192766841,-0.152564288314682,0.0990572496056942,0.414572933534942,0.695164092023903,0.957970029252451
"118","QnSurvCL_6","HL",NA,NA,NA,NA,NA,NA
"119","IR","HL",0.993028894602621,0.95629720347338,0,0,9.61277859213102e-27,1.55177711558686e-25
"120","SH","HL",-0.997249346512595,-0.989671166275238,8.94603414096192e-55,2.52725464482174e-53,2.62706280826354e-41,7.4214524333445e-40
"121","ID","MLH",0.0913727725823142,0.178782620287911,0.532360946718257,0.87440441075911,0.219033347102984,0.802083854805577
"122","QnSinV1","MLH",0.102404067781718,0.0881007625871947,0.483822795195103,0.841227481759113,0.547202576842769,0.943953958998075
"123","QnSinV2","MLH",-0.0139286473456607,-0.0695855413426143,0.924324301303027,0.99960648108617,0.634715118882582,0.944703697798355
"124","QnSinV3","MLH",-0.03684347543452,-0.0821924103593746,0.801557633733232,0.99960648108617,0.574493866366097,0.943953958998075
"125","QnSize","MLH",-0.228809420410257,-0.217679546587616,0.135187217730248,0.462913806167212,0.155770566490077,0.651928667162174
"126","QnWt","MLH",0.0533086587812031,-0.0129288076086212,0.716017651336483,0.974066756340902,0.929742393483472,0.960575605188661
"127","QnWtLsCL","MLH",-0.0205614047156008,-0.0069113434404504,0.909575711685895,0.99960648108617,0.96955041653437,0.979941939912993
"128","ClaustPer","MLH",-0.154008955003574,-0.164891180601791,0.400021838714478,0.798178476852705,0.367136819338731,0.864301262193262
